id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
inv-1769477420186-neuqi4kmt,Papel Marg Refect Lim/Pimien 115 g,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,8500.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.186Z,2026-02-01T17:41:45.216Z
inv-1769477420186-uiqen0s34,Cuchillo multiuso Ilko 11 cm,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,12900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.186Z,2026-01-27T01:30:20.186Z
inv-1769477420187-2zdcsczyn,Copa Nevada Cappuchinero 4.5 oz,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,50200.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.187Z,2026-01-27T01:30:20.187Z
inv-1769477420187-4gxga74aj,Película plástica Tami Rto x100 mt,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,32500.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.187Z,2026-02-01T17:41:45.216Z
inv-1769477420187-7g9wx3aq6,Licor Vodka Tropcaya 750 ml,cmnkwlk6800038xyd1sss57is,INVENTORY::bebidas alcoholicas,1.0,Botella,18200.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.187Z,2026-02-03T01:38:34.300Z
inv-1769477420187-c7bn9pz0e,Estuche 4 pz postre Corona Caribe,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,12900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.187Z,2026-01-27T01:30:20.187Z
inv-1769477420187-pt9exd3ov,Set x4 coladores Arco Iris,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Set,12900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.187Z,2026-01-27T01:30:20.187Z
inv-1769477420187-zyy7d6a15,Mezclador Refisal Michel Rep x6,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,3.0,Unidad,8900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.187Z,2026-01-27T01:30:20.187Z
inv-1769814963447-no7mo0lh5,"TV Samsung 40""",cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,957000.0,Almacenes Éxito Pasto,EXITO-20260129-TV,0.0,,2026-01-29T12:00:00.000Z,0,2026-01-30T23:16:03.442Z,2026-01-30T23:16:03.442Z
inv-1769814963481-185zpo1ks,Seguro del TV,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,70000.0,Almacenes Éxito Pasto,EXITO-20260129-TV,0.0,,2026-01-29T12:00:00.000Z,0,2026-01-30T23:16:03.442Z,2026-01-30T23:16:03.442Z
inv-1769814963481-e3lrfe15u,Base para el TV,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,100000.0,Almacenes Éxito Pasto,EXITO-20260129-TV,0.0,,2026-01-29T12:00:00.000Z,0,2026-01-30T23:16:03.442Z,2026-01-30T23:16:03.442Z
inv-1769965240723-p3819uwv0,Papel higiénico 3H,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Paquete,6700.0,Tiendas D1,D1-31012026,0.0,,2026-01-31T12:00:00.000Z,0,2026-02-01T17:00:40.714Z,2026-02-01T17:41:45.216Z
inv-1769965240758-2nxi47xy4,Gaseosa Coca-Cola,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Botella,6490.0,Tiendas D1,D1-31012026,0.0,,2026-01-31T12:00:00.000Z,0,2026-02-01T17:00:40.714Z,2026-02-01T17:41:45.216Z
inv-1769965240758-57jenlp8n,Moritas de go,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,0.0,Unidad,4600.0,Tiendas D1,D1-31012026,0.0,,2026-01-31T12:00:00.000Z,0,2026-02-01T17:00:40.714Z,2026-02-03T00:41:24.561Z
inv-1769965240758-5u3tegwt1,Ambientador,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,5850.0,Tiendas D1,D1-31012026,0.0,,2026-01-31T12:00:00.000Z,0,2026-02-01T17:00:40.714Z,2026-02-01T17:41:45.216Z
